iter	Passed	Remaining
520	3505	3222
521	3512	3216
522	3517	3208
523	3523	3200
524	3531	3194
525	3537	3187
526	3543	3180
527	3548	3171
528	3554	3164
529	3559	3156
530	3564	3148
531	3569	3140
532	3574	3131
533	3579	3123
534	3584	3115
535	3590	3108
536	3595	3100
537	3600	3092
538	3606	3084
539	3612	3077
540	3618	3069
541	3624	3062
542	3630	3055
543	3636	3048
544	3644	3042
545	3650	3035
546	3656	3027
547	3661	3020
548	3667	3012
549	3672	3004
550	3678	2997
551	3683	2989
552	3691	2983
553	3696	2975
554	3700	2967
555	3707	2960
556	3712	2952
557	3717	2944
558	3723	2937
559	3729	2930
560	3734	2922
561	3740	2914
562	3745	2906
563	3750	2899
564	3755	2891
565	3760	2883
566	3765	2875
567	3770	2867
568	3775	2860
569	3780	2852
570	3786	2844
571	3791	2837
572	3796	2829
573	3802	2821
574	3807	2813
575	3812	2806
576	3817	2798
577	3822	2791
578	3828	2783
579	3833	2775
580	3839	2768
581	3844	2760
582	3848	2753
583	3855	2746
584	3861	2739
585	3866	2731
586	3872	2724
587	3878	2717
588	3883	2710
589	3889	2702
590	3894	2695
591	3900	2687
592	3905	2680
593	3910	2672
594	3915	2665
595	3920	2657
596	3925	2649
597	3930	2642
598	3935	2634
599	3941	2627
600	3947	2620
601	3952	2613
602	3958	2605
603	3963	2598
604	3968	2591
605	3973	2583
606	3978	2576
607	3984	2568
608	3989	2561
609	3994	2553
610	4000	2547
